Datetime;Ambient Temperature [ºC];Global Radiation [W/m2];Diffuse Radiation [W/m2];Ultraviolet [W/m2];Wind Velocity [m/s];Wind Direction [º];Precipitation [mm];Atmospheric pressure [hPa]
2018-01-01T16:41:00+00:00;15.6;91.598728;38.061612;4.991286;0.65;249.10258;0;1032.1
2018-01-01T16:57:00+00:00;15.3;51.226684;30.82708;3.1872059999999998;0.783333;228.0434;0;1032.0
2018-01-01T16:58:00+00:00;15.3;48.577092;29.485826;3.083911;1.2;220.95994;0;1032.0
2018-01-01T17:17:00+00:00;14.666668;15.889148;15.044824;1.4840879999999999;1.8166669999999998;310.00046;0;1032.2002
2018-01-01T17:16:00+00:00;14.7;16.545673999999998;16.499356;1.549881;1.733333;301.82916;0;1032.2002
2018-01-01T17:37:00+00:00;14.1;4.641463;4.219209;0.631131;2.116667;328.30466;0;1032.1
2018-01-01T17:18:00+00:00;14.6;14.905892;14.366926;1.417046;1.666667;306.16816;0;1032.2002
2018-01-01T17:38:00+00:00;14.1;4.124097;4.170864;0.6158589999999999;1.65;325.16712;0;1032.1168
2018-01-01T17:54:00+00:00;13.816668;2.54863;2.618715;0.513927;1.966667;332.83362;0;1032.5
2018-01-01T17:12:00+00:00;14.8;18.389624;17.819176;1.8401839999999998;1.3;295.48574;0;1032.1
2018-01-01T17:30:00+00:00;14.3;6.895169;6.365122;0.8146789999999999;1.65;300.67014;0;1032.1
2018-01-01T17:31:00+00:00;14.3;6.948082;6.471421;0.7820039999999999;1.766667;305.3342;0;1032.1
